coddepto,codmpio,coca_presence,inf_q
5,5002,0,2
5,5004,0,3
5,5021,0,3
5,5030,0,3
5,5031,1,3
5,5034,0,2
5,5036,0,3
5,5038,0,3
5,5040,1,4
5,5042,0,2
5,5044,0,2
5,5045,1,4
5,5051,0,3
5,5055,1,4
5,5059,0,4
5,5079,0,3
5,5086,0,3
5,5088,0,1
5,5091,0,2
5,5093,0,2
5,5101,0,1
5,5107,1,4
5,5113,0,4
5,5120,1,3
5,5125,0,3
5,5129,0,1
5,5134,1,4
5,5138,1,4
5,5142,1,2
5,5145,0,1
5,5147,1,4
5,5148,0,4
5,5150,0,1
5,5154,1,2
5,5172,1,3
5,5190,0,1
5,5197,1,4
5,5206,0,2
5,5209,0,2
5,5212,0,1
5,5234,1,3
5,5237,1,1
5,5240,0,2
5,5250,1,4
5,5264,0,1
5,5266,0,1
5,5282,0,1
5,5284,1,4
5,5306,0,3
5,5308,0,2
5,5310,1,2
5,5313,0,4
5,5315,0,4
5,5318,0,1
5,5321,0,3
5,5347,0,3
5,5353,0,1
5,5360,0,2
5,5361,1,4
5,5364,0,2
5,5368,0,1
5,5376,0,1
5,5380,0,1
5,5390,0,1
5,5400,0,1
5,5411,0,3
5,5425,1,3
5,5440,0,2
5,5467,0,2
5,5475,0,4
5,5480,1,4
5,5483,1,3
5,5490,1,4
5,5495,1,4
5,5501,0,4
5,5541,0,4
5,5543,1,4
5,5576,0,2
5,5579,1,1
5,5591,1,3
5,5604,1,4
5,5607,0,1
5,5615,0,1
5,5628,1,4
5,5631,0,1
5,5642,0,1
5,5647,0,3
5,5649,1,4
5,5652,1,4
5,5656,0,3
5,5658,0,3
5,5659,0,4
5,5660,1,4
5,5664,0,1
5,5665,1,3
5,5667,1,4
5,5670,1,2
5,5674,0,2
5,5679,0,2
5,5686,1,2
5,5690,0,1
5,5697,0,3
5,5736,1,4
5,5756,1,3
5,5761,0,2
5,5789,0,2
5,5790,1,4
5,5792,0,1
5,5809,0,2
5,5819,1,3
5,5837,1,4
5,5842,1,3
5,5847,1,2
5,5854,1,3
5,5856,0,2
5,5858,1,4
5,5861,0,1
5,5873,1,4
5,5885,1,3
5,5887,1,2
5,5890,1,3
5,5893,1,4
5,5895,1,4
8,8001,0,1
8,8078,0,2
8,8137,0,2
8,8141,0,1
8,8296,0,2
8,8372,0,2
8,8421,0,1
8,8433,0,1
8,8436,0,3
8,8520,0,1
8,8549,0,2
8,8558,0,1
8,8560,0,1
8,8573,0,1
8,8606,0,3
8,8634,0,1
8,8638,0,1
8,8675,0,1
8,8685,0,1
8,8758,0,1
8,8770,0,4
8,8832,0,2
8,8849,0,1
13,13001,0,2
13,13006,1,4
13,13030,1,4
13,13042,1,4
13,13052,0,3
13,13062,0,4
13,13074,1,4
13,13140,0,3
13,13160,1,4
13,13188,0,3
13,13212,0,3
13,13222,0,3
13,13244,0,3
13,13248,0,2
13,13268,1,4
13,13300,0,4
13,13430,0,3
13,13433,0,4
13,13440,0,2
13,13442,0,4
13,13458,1,4
13,13468,0,4
13,13473,1,4
13,13549,0,4
13,13580,0,4
13,13600,1,4
13,13620,0,3
13,13647,0,3
13,13650,0,1
13,13654,0,3
13,13655,1,4
13,13657,0,2
13,13667,1,4
13,13670,1,4
13,13673,0,2
13,13683,0,2
13,13688,1,4
13,13744,1,4
13,13760,0,3
13,13800,0,3
13,13810,1,4
13,13836,0,3
13,13838,0,3
13,13873,0,3
13,13894,0,4
15,15001,0,2
15,15022,0,3
15,15047,0,4
15,15051,0,1
15,15087,0,2
15,15090,0,2
15,15092,0,4
15,15097,0,3
15,15104,0,2
15,15106,0,4
15,15109,0,4
15,15114,0,4
15,15131,0,1
15,15135,0,2
15,15162,0,3
15,15172,0,1
15,15176,0,2
15,15180,0,3
15,15183,0,4
15,15185,0,2
15,15187,0,3
15,15189,0,2
15,15204,0,2
15,15212,1,4
15,15215,0,3
15,15218,0,3
15,15223,1,4
15,15224,0,3
15,15226,0,4
15,15232,0,3
15,15238,0,3
15,15244,0,2
15,15248,0,2
15,15272,0,2
15,15276,0,3
15,15293,0,3
15,15296,0,3
15,15299,0,1
15,15317,0,2
15,15322,0,2
15,15325,0,2
15,15332,0,1
15,15362,0,2
15,15367,0,2
15,15368,0,4
15,15377,0,3
15,15380,0,2
15,15401,0,4
15,15403,0,2
15,15407,0,2
15,15425,0,2
15,15442,1,3
15,15455,0,1
15,15464,0,3
15,15466,0,4
15,15469,0,1
15,15476,0,2
15,15480,1,4
15,15491,0,2
15,15494,0,2
15,15500,0,2
15,15507,1,4
15,15511,0,3
15,15514,0,4
15,15516,0,3
15,15518,0,2
15,15522,0,1
15,15531,1,4
15,15533,0,4
15,15537,0,4
15,15542,0,3
15,15550,0,4
15,15572,1,1
15,15599,0,3
15,15600,0,3
15,15621,0,3
15,15632,0,2
15,15638,0,2
15,15646,0,2
15,15660,0,4
15,15664,0,2
15,15667,0,2
15,15673,0,3
15,15676,0,2
15,15681,1,4
15,15686,0,2
15,15690,0,3
15,15693,0,3
15,15696,1,1
15,15720,0,3
15,15723,0,2
15,15740,0,3
15,15753,0,2
15,15755,0,4
15,15757,0,3
15,15759,0,3
15,15761,0,3
15,15762,0,3
15,15763,0,2
15,15764,0,2
15,15774,0,3
15,15776,0,2
15,15778,0,2
15,15790,0,2
15,15798,0,2
15,15804,0,1
15,15806,0,3
15,15808,0,2
15,15810,0,2
15,15814,0,1
15,15816,0,2
15,15820,0,4
15,15822,0,4
15,15832,1,4
15,15835,0,3
15,15837,0,2
15,15839,0,2
15,15842,0,2
15,15861,0,2
15,15879,0,2
15,15897,0,3
17,17001,0,1
17,17013,0,1
17,17042,0,2
17,17050,0,1
17,17088,0,1
17,17174,0,1
17,17272,0,1
17,17380,0,1
17,17388,0,2
17,17433,1,1
